generator,noise,strategy,repeats,max_steps,seed,attempt,stop_reason,abs_err_x,uncert,final_entropy,measurements,expected_uniform_points,sobol_baseline_steps,sobol_difference,steps_to_fb,err_fb_at_milestone,err_fc_at_milestone,fc_at_milestone,overall_uncert_at_milestone,final_err_fb,final_err_fc,final_overall_uncert,final_steps,err_fb_diff,err_fc_diff,duration_ms,sweep_steps,locator_steps,dips_detected,total_dip_width,min_dip_width,expected_focused_points,sweep_efficiency,measurements_done,acquisition_lo,acquisition_hi,sobol_freq_steps,sobol_conv_diff
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,22,locator_stop,3343614.057423115,79927.56582098082,27.220955080699596,3000,52.977483443707634,,-2947.0225165562924,,,,,,3343614.057423115,2159922.171897026,15658.97884395784,3000,,,278093.61130000616,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,23,locator_stop,151207.90773248672,54851.345339557156,27.926623964813974,3000,46.67211201867011,,-2953.3278879813297,,,,,,151207.90773248672,68115.68588286638,15233.995714668055,3000,,,289225.3459000058,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,24,locator_stop,3640436.0083293915,53887.739341007546,23.334321638064424,3000,63.79266347687253,,-2936.2073365231277,,,,,,3640436.0083293915,3006068.310278179,9854.588528037882,3000,,,298449.8021000036,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,25,locator_stop,1408598.828804016,72949.10028576851,24.960839663426984,3000,177.76888888888382,,-2822.231111111116,,,,,,1408598.828804016,1736362.8827875173,13319.387114992734,3000,,,323409.97579999384,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,26,locator_stop,1023464.7772026062,96286.00673750043,26.29580590660535,3000,128.19871794872205,,-2871.801282051278,,,,,,1023464.7772026062,1286275.62977634,17367.500695187213,3000,,,382366.2078000052,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,27,locator_stop,504051.3028168678,74592.39714080468,23.959205484437177,3000,124.2173913043499,,-2875.78260869565,,,,,,504051.3028168678,381698.49552315194,13182.763627785427,3000,,,430946.9181000022,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,28,locator_stop,43334.49474191666,50628.16126155667,26.33929391244397,3000,49.81070983810717,,-2950.189290161893,,,,,,43334.49474191666,3011.1060635661706,11805.88539481158,3000,,,519453.99549999274,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,29,locator_stop,1756565.281899929,91117.54479818046,31.59881184314412,3000,33.58354324097428,,-2966.4164567590256,,,,,,1756565.281899929,1252548.0453085573,28728.681390174224,3000,,,493463.2461000001,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,30,locator_stop,2984449.4633173943,67085.19504172727,24.03053594348441,3000,89.28125000000072,,-2910.718749999999,,,,,,2984449.4633173943,2594642.1873432286,12023.344868899287,3000,,,456507.5865000108,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,31,locator_stop,1644586.3212575912,87858.77435002476,28.701370566153752,3000,32.81214109926157,,-2967.1878589007383,,,,,,1644586.3212575912,986537.2321986966,19421.454481991823,3000,,,579074.9179999984,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,32,locator_stop,82057.96158981323,104321.33422000334,33.116668512727884,3000,35.45921985815581,,-2964.540780141844,,,,,,82057.96158981323,26822.486268597655,39788.43855709004,3000,,,639730.4232000024,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,33,locator_stop,13428.175659179688,63298.553868662566,29.674218521194042,3000,82.6404958677686,,-2917.3595041322315,,,,,,13428.175659179688,1222.7573117995635,17932.033319415033,3000,,,728902.9642000096,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,34,locator_stop,178503.63352155685,60120.117268525064,24.106025606213286,3000,79.99600000000082,,-2920.003999999999,,,,,,178503.63352155685,86102.24020291585,11078.961816769386,3000,,,697596.8261000089,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,35,locator_stop,25333.090691566467,65869.60080312565,28.52074449698965,3000,41.32024793388435,,-2958.6797520661157,,,,,,25333.090691566467,17319.371957113966,16748.46128778934,3000,,,708300.6428999943,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,36,locator_stop,55648.84009075165,128502.95752286911,34.046717685450844,3000,47.00117508813141,,-2952.9988249118687,,,,,,55648.84009075165,44918.23639459442,48179.28844242558,3000,,,818360.8103000006,0,3000,,,,,,,,,,
NVCenter-lorentzian,Gauss(0.01),SimpleSobol,90,3000,123,37,locator_stop,2291.531930923462,62727.34754020348,29.518250762133313,3000,35.490683229813996,,-2964.509316770186,,,,,,2291.531930923462,26587.613813820295,19638.726060249035,3000,,,975834.8109000071,0,3000,,,,,,,,,,
